 Keyword,FileName,Frequency
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1997-Clinton.txt,11
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1998-Clinton.txt,11
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1999-Clinton.txt,10
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2000-Clinton.txt,10
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2001-Bush.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2002-Bush.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2003-Bush.txt,10
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2004-Bush.txt,14
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2005-Bush.txt,11
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2006-Bush.txt,16
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2007-Bush.txt,7
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2008-Bush.txt,6
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2009-Obama.txt,22
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2010-Obama.txt,15
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2011-Obama.txt,7
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2012-Obama.txt,12
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2013-Obama.txt,13
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2014-Obama.txt,12
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2015-Obama.txt,18
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2016-Obama.txt,16
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1824-Monroe.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1826-Adams.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1829-Jackson.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1830-Jackson.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1832-Jackson.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1845-Polk.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1848-Polk.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1853-Pierce.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1854-Pierce.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1855-Pierce.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1857-Buchanan.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1859-Buchanan.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1860-Buchanan.txt,3
